h,k,l,mag(G),S,I,d,2theta
-6,-7,-4,9.86644231900142,(-2.341897059012689e-14-8.881784197001252e-16j),5.492370444064493e-28,0.06454442048558451,-4
-6,-7,-3,9.518397141883971,-7.588736065558652e-14j,5.7588915072710606e-27,0.06935091988344717,-4
-6,-7,-2,9.261789318304295,(8.449011872870752e-14+1.2878587085651816e-14j),7.304438168113812e-27,0.07324703897802287,-4
-6,-7,-1,9.104353668013665,7.390396091274023e-14j,5.461795438591835e-27,0.07580216824469808,-4
-6,-7,0,9.051266605148696,(-4.518289458645876e-14-1.2878587085651816e-14j),2.207351968533762e-27,0.07669395845934159,-4
-6,-7,1,9.104353668013665,-6.028313163555896e-14j,3.6340559597901296e-27,0.07580216824469808,-4
-6,-7,2,9.261789318304295,(6.616877428713332e-14+1.2878587085651816e-14j),4.544164695984314e-27,0.07324703897802287,-4
-6,-7,3,9.518397141883971,2.9459157519578075e-14j,8.678419617633134e-28,0.06935091988344717,-4
-6,-7,4,9.86644231900142,(-5.764670235011062e-14+0j),3.323142291842249e-27,0.06454442048558451,-4
-6,-7,5,10.296656788847876,-7.113880355250178e-14j,5.06072937088144e-27,0.05926351335494577,-4
-6,-7,6,10.799224746714913,(7.266491124882004e-14+0j),5.280189326798894e-27,0.05387592123176888,-4
-6,-6,-7,10.799224746714913,(9.936888361552401e-14+4.440892098500626e-16j),9.874372246221863e-27,0.05387592123176888,-4
-6,-6,-6,10.202621423817474,(43.6176-4.453927941550613e-14j),1902.4950297600003,0.0603609858244818,-4
-6,-6,-5,9.669093536366612,(-2.5103104868314327e-14+2.042810365310288e-14j),1.0474732928915014e-27,0.06720604607261892,-4
-6,-6,-4,9.20960980833942,(13.0544-6.297758435929545e-14j),170.41735935999998,0.07407939169368222,-4
-6,-6,-3,8.835729338221292,(4.8551163142833646e-14+1.8207657603852567e-14j),2.688734237941179e-27,0.0804813144326424,-4
-6,-6,-2,8.558678061729806,(43.6176+1.7372434965809323e-14j),1902.4950297600003,0.0857761377505794,-4
-6,-6,-1,8.388056062041635,(-1.1372162488622403e-14-1.1102230246251565e-14j),2.525855961084136e-28,0.08930118450745253,-4
-6,-6,0,8.330405509046935,(13.0544-3.366040093098215e-14j),170.41735935999998,0.0905414787367227,-4
-6,-6,1,8.388056062041635,(2.793506165362634e-14+1.1102230246251565e-14j),9.036271860326876e-28,0.08930118450745253,-4
-6,-6,2,8.558678061729806,(43.6176-3.876968402847283e-14j),1902.4950297600003,0.0857761377505794,-4
-6,-6,3,8.835729338221292,(-3.8034019848099436e-15-5.329070518200751e-15j),4.2864859246012646e-29,0.0804813144326424,-4
-6,-6,4,9.20960980833942,(13.0544-2.713815088431116e-14j),170.41735935999998,0.07407939169368222,-4
-6,-6,5,9.669093536366612,(1.464820848378447e-14-8.881784197001252e-15j),2.934561023065165e-28,0.06720604607261892,-4
-6,-6,6,10.202621423817474,(43.6176+2.6544819514397746e-14j),1902.4950297600003,0.0603609858244818,-4
-6,-5,-7,10.296656788847876,4.27345827231519e-14j,1.826244560521913e-27,0.05926351335494577,-4
-6,-5,-6,9.669093536366612,(-6.746456128820907e-16+2.042810365310288e-14j),4.177625655648964e-28,0.06720604607261892,-4
-6,-5,-5,9.104353668013665,-1.741608838715212e-14j,3.033201347090949e-28,0.07580216824469808,-4
-6,-5,-4,8.614801142169734,(4.68670288646462e-14+3.375077994860476e-14j),3.3356335417387214e-27,0.0846621619356368,-4
-6,-5,-3,8.21389060284904,9.569346444755945e-14j,9.157239137976325e-27,0.0931283781292005,-4
-6,-5,-2,7.915103035438159,(-2.2438569609213954e-14+7.993605777301127e-15j),5.67387139430442e-28,0.10029209952375437,152.0314116413408
-6,-5,-1,7.730289153532403,-9.074054600391566e-14j,8.233846689088733e-27,0.10514494304909733,142.77705141987894
-6,-5,0,7.667694688915752,(3.7317334496030454e-14+3.375077994860476e-14j),2.5316986010277656e-27,0.10686863064006615,140.1134146185857
-6,-5,1,7.730289153532403,6.923356351058908e-14j,4.793286316374772e-27,0.10514494304909733,142.77705141987894
-6,-5,2,7.915103035438159,(-3.076613047232233e-14+2.0872192862952943e-14j),1.3822032191482646e-27,0.10029209952375437,152.0314116413408
-6,-5,3,8.21389060284904,-7.869453736889075e-14j,6.1928302117037424e-27,0.0931283781292005,-4
-6,-5,4,8.614801142169734,(4.667251779073188e-14+2.0872192862952943e-14j),2.613972351834488e-27,0.0846621619356368,-4
-6,-5,5,9.104353668013665,7.839423573137618e-14j,6.1456561959065776e-27,0.07580216824469808,-4
-6,-5,6,9.669093536366612,(-1.244478603074815e-14+2.0872192862952943e-14j),5.905211342594081e-28,0.06720604607261892,-4
-6,-4,-7,9.86644231900142,(-4.2518359327358384e-14-8.881784197001252e-16j),1.808599740795585e-27,0.06454442048558451,-4
-6,-4,-6,9.20960980833942,(13.0544-3.311489426076996e-14j),170.41735935999998,0.07407939169368222,-4
-6,-4,-5,8.614801142169734,(4.4202493605545834e-14+3.375077994860476e-14j),3.092975588087461e-27,0.08466216193563682,-4
-6,-4,-4,8.095698964634494,(43.6176+5.158205338093202e-15j),1902.4950297600003,0.09586744807417698,165.95891167286584
-6,-4,-3,7.667694688915752,(1.7849055513947724e-14-7.549516567451064e-15j),3.7558398314220573e-28,0.10686863064006615,140.1134146185857
-6,-4,-2,7.3467270990868725,(13.0544-5.537174476486777e-14j),170.41735935999998,0.11641047266150062,128.4955170721603
-6,-4,-1,7.147231170465648,(-8.420671390937183e-16+1.4654943925052066e-14j),2.1547645851316193e-28,0.12299974469894405,122.38028624968602
-6,-4,0,7.0794833744618595,(43.6176-9.555346378633662e-17j),1902.4950297600003,0.12536512440469297,120.43522088984767
-6,-4,1,7.147231170465648,(1.3148519328022652e-14-1.7763568394002505e-15j),1.760390041402693e-28,0.12299974469894405,122.38028624968602
-6,-4,2,7.3467270990868725,(13.0544-5.591725143507997e-14j),170.41735935999998,0.11641047266150062,128.4955170721603
-6,-4,3,7.667694688915752,(-2.3414381597690545e-14-5.329070518200751e-15j),5.76632258190226e-28,0.10686863064006615,140.1134146185857
-6,-4,4,8.095698964634494,(43.6176+2.6713040507088937e-14j),1902.4950297600003,0.09586744807417698,165.95891167286584
-6,-4,5,8.614801142169734,(2.0273190621985053e-14-8.881784197001252e-15j),4.89888348517444e-28,0.08466216193563682,-4
-6,-4,6,9.20960980833942,(13.0544-4.061017881504988e-14j),170.41735935999998,0.07407939169368222,-4
-6,-3,-7,9.518397141883971,-7.860447607713314e-14j,6.1786636593605965e-27,0.06935091988344717,-4
-6,-3,-6,8.835729338221292,(4.588662788373327e-14+1.8207657603852567e-14j),2.437101413959338e-27,0.0804813144326424,-4
-6,-3,-5,8.21389060284904,7.669923603522045e-14j,5.882772808386459e-27,0.0931283781292005,-4
-6,-3,-4,7.667694688915752,(2.970290627131226e-15-7.549516567451064e-15j),6.581782681184173e-29,0.10686863064006615,140.1134146185857
-6,-3,-3,7.214342794660484,-9.349674127592909e-14j,8.741640629218022e-27,0.1207219716489636,124.36817718754419
-6,-3,-2,6.872233929727672,(3.944555798406796e-14+1.8207657603852567e-14j),1.8874708400935975e-27,0.13304054018457212,114.81228588619445
-6,-3,-1,6.6585368903775395,4.1376025012378596e-14j,1.7119754458249792e-27,0.14171709715313116,109.43453389274092
-6,-3,0,6.58576381035068,(3.4143798369812866e-15+5.329070518200751e-15j),4.0056982259140775e-29,0.14486636597875632,107.68340958610946
-6,-3,1,6.6585368903775395,-6.024405178509216e-14j,3.629345775484866e-27,0.14171709715313116,109.43453389274092
-6,-3,2,6.872233929727672,(4.111178069942539e-14+5.329070518200751e-15j),1.7185775048656023e-27,0.13304054018457212,114.81228588619445
-6,-3,3,7.214342794660484,5.418407984542725e-14j,2.9359145086956354e-27,0.1207219716489636,124.36817718754419
-6,-3,4,7.667694688915752,(-1.929278964107212e-14+5.329070518200751e-15j),4.006107247226161e-28,0.10686863064006615,140.1134146185857
-6,-3,5,8.21389060284904,-4.776306997464834e-14j,2.2813108534031536e-27,0.0931283781292005,-4
